City,Website,Revenue,Status,Value
Harrisburg,https://www.paiolta.org/,"$25,000,001 to $100,000,000",Other,0
Santa Fe Springs,http://WWW.OXYHEALTH.COM,"$7,500,001 to $25,000,000",Private,0
Milford Mill,http://www.lsfrontiers.com/#xl_About:32Us,"$7,500,001 to $25,000,000",Non Profit,0
Harrisburg,http://www.wethepeoplepaaction.org/,"$1 to $500,000",Private,0
Boca Raton,https://hermanlaw.com/,"$500,001 to $7,500,000",Other,0
Springdale,https://springdalebenevolentfoundation.com/,Undefined,Other,0
Steamboat Springs,http://www.catamountranchclub.com,"$500,001 to $7,500,000",Other,0
Nashville,https://commonsensefinance.org/,"$1 to $500,000",Non Profit,0
San Dimas,https://www.brault.us/,"$25,000,001 to $100,000,000",Private,0
Commerce Charter Township,http://askarrestaurantgroup.com,Undefined,Private,0
Oxnard,http://alexanderbgc.com,Undefined,Private,0
Honolulu,https://prospacholdings.com/,Below $1,Private,0
La Verne,https://andersenplumbing.com,"$25,000,001 to $100,000,000",Private,1
San Jose,https://www.tandempv.com/,"$500,001 to $7,500,000",Other,0
Nashville,http://www.iquitylabs.com,"$500,001 to $7,500,000",Private,0
Oakland,http://www.riazcapital.com/,Below $1,Private,0
La Center,http://www.lastfrontiercasino.com/,"$7,500,001 to $25,000,000",Private,0
Brentwood,http://stagepilot.com,"$500,001 to $7,500,000",Non Profit,0
Oklahoma City,http://www.champion-hotels.com,Undefined,Private,1
Columbia,https://www.midamericahd.com/,Undefined,Private,0
Phoenix,http://mculinary.com,Below $1,Private,0
Burwell,http://lbphd.org,"$500,001 to $7,500,000",Other,0
Freehold,https://www.tacobell.com/,"$7,500,001 to $25,000,000",Private,1
Houston,http://www.stratiq.co/,"$1 to $500,000",Private,0
Chicago,http://www.okregusa.zhp.org,"$1 to $500,000",Non Profit,0
San Diego,https://www.bhtherapeutics.com/,Below $1,Private,0
Miami,http://www.cloudastructure.com,"$1 to $500,000",Private,1
